Source ID,Source Level,Entity Type,Source Name,County,Municipality,Region,Coverage / Scope,Priority Tier,Rank / Area,Statewide DOS Directory,Direct Legal Notice URL,Effective Notice Entry URL,Primary Procurement URL,Verification URL / County URL,Portal Type,Crawl Entry,Verification Status,Source Status,Refresh Cadence,Website Ready,Parser Hint,Use For,Notes
state-njdot-construction,State/Authority,State Agency,NJDOT Construction Services,,,Statewide,Construction,Tier 1,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,https://www.nj.gov/transportation/business/procurement/ConstrServ/curradvproj.shtm,https://www.nj.gov/transportation/business/procurement/ConstrServ/curradvproj.shtm,Official procurement page,"Notice-first via DOS directory, then NJDOT construction page",Verified,Pinned,Daily,Yes,HTML page,road resurfacing OR bridge OR drainage OR traffic signal OR ADA,Core statewide highway and bridge construction source
state-njdot-profserv,State/Authority,State Agency,NJDOT Professional Services,,,Statewide,Professional Services,Tier 1,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,https://www.nj.gov/transportation/business/procurement/ProfServ/CurrentSolic.shtm,https://www.nj.gov/transportation/business/procurement/ProfServ/CurrentSolic.shtm,Official professional services page,"Notice-first via DOS directory, then NJDOT professional services page",Verified,Pinned,Daily,Yes,HTML page,engineering OR design OR inspection OR consultant technical proposals,Primary source for consultant technical proposals and professional services
state-njtransit,State/Authority,Transit Agency,NJ TRANSIT Procurement Calendar,,,Statewide,Construction + Professional Services,Tier 1,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,https://www.njtransit.com/procurement/calendar,https://www.njtransit.com/procurement/calendar,Official procurement calendar,Procurement page first; monitor calendar endpoint and linked docs,Verified,Pinned,Daily,Yes,Calendar,transit capital OR stations OR rail OR facilities,Best statewide transit capital and facility source
state-njta,State/Authority,Transportation Authority,NJ Turnpike Authority Current Solicitations,,,Statewide,Construction + Professional Services,Tier 1,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,https://www.njta.gov/business-hub/current-solicitations/,https://www.njta.gov/business-hub/current-solicitations/,Official solicitations page,"Notice-first via DOS directory, then authority solicitations page",Verified,Pinned,Daily,Yes,HTML page,bridge OR roadway OR toll OR facility,Major toll road bridge and facility packages
state-sjta,State/Authority,Transportation Authority,SJTA Legal Notices,Atlantic,,South,Construction + Professional Services,Tier 1,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,https://www.sjta.com/legal-notices,https://www.sjta.com/legal-notices,https://www.sjta.com/legal-notices,https://www.sjta.com/legal-notices,Official legal notices page,Legal notices page first,Verified,Pinned,Weekly,Yes,Notice page,expressway OR airport OR engineering,Covers Atlantic City Expressway and Atlantic City International Airport
county-atlantic,County,County,Atlantic County,Atlantic,,South,Transportation bids and notices,Tier 1,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,https://www.atlanticcountynj.gov/government/county-departments/department-of-administrative-services/division-of-budget-and-purchasing/open-bids,https://www.atlanticcountynj.gov/government/county-departments/department-of-administrative-services/division-of-budget-and-purchasing/open-bids,County open-bids page,"Legal notice page first via statewide DOS directory, then county procurement page",Verified,Pinned,Weekly,Yes,HTML page,road resurfacing OR reconstruction OR bridge OR drainage OR traffic signal OR ADA curb ramp,Check Atlantic City first then Egg Harbor Township business/legal notices
county-bergen,County,County,Bergen County,Bergen,,North,Transportation bids and notices,Tier 1,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,https://bergenbids.com/,https://bergenbids.com/,County procurement portal,"Legal notice page first via statewide DOS directory, then county procurement page",Verified,Pinned,Weekly,Yes,Portal listing,road program OR roadway improvements OR bridge repairs OR ADA ramps,Use BergenBids plus Hackensack as municipal seed
county-camden,County,County,Camden County,Camden,,South,Transportation bids and notices,Tier 1,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,https://procurements.camdencounty.com/,https://procurements.camdencounty.com/,County procurement portal,"Legal notice page first via statewide DOS directory, then county procurement page",Verified,Pinned,Weekly,Yes,Portal listing,road improvements OR intersection improvements OR ADA OR resurfacing,Check Cherry Hill and Gloucester Township after Camden
county-morris,County,County,Morris County,Morris,,North,Transportation bids and notices,Tier 1,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,https://www.morriscountynj.gov/Departments/Purchasing/Bids-and-Quotes,https://www.morriscountynj.gov/Departments/Purchasing/Bids-and-Quotes,County bids and quotes,"Legal notice page first via statewide DOS directory, then county procurement page",Verified,Pinned,Weekly,Yes,HTML page,road resurfacing OR curb and sidewalk OR bridge repairs,Parsippany resurfacing program already proved this source
mun-atlantic-atlantic-city,Municipality,Municipality,Atlantic City,Atlantic,Atlantic City,South,Transportation bids and notices,Tier 1,1,https://www.nj.gov/state/statewide-legal-notices-list.shtml,,https://www.nj.gov/state/statewide-legal-notices-list.shtml,https://www.acnj.gov/Departments/purchasing,https://www.atlanticcountynj.gov/government/county-departments/department-of-administrative-services/division-of-budget-and-purchasing/open-bids,Official purchasing page,"Use municipal legal/public notices page from DOS directory first; if not pinned, use procurement page fallback",Verified,Pinned,Weekly,Yes,HTML page,roadway OR drainage OR traffic signal OR ADA,Verified official municipal procurement / bids page
