record_id,county_raw,canonical_counties,coverage_scope,region_raw,confidence,evidence
notice-b9fc8d1f10a0,Ocean,Ocean,SINGLE_COUNTY,,LOW,"county_raw=""Ocean"" (R-01 fallback)"
notice-d47f43d02a44,Camden,Camden,SINGLE_COUNTY,,LOW,"county_raw=""Camden"" (R-01 fallback)"
notice-641a3acffbd7,Camden,Camden,SINGLE_COUNTY,,LOW,"county_raw=""Camden"" (R-01 fallback)"
notice-f42ab9341e4f,Warren/Hunterdon/Mercer,Hunterdon|Mercer|Warren,BISTATE,,LOW,"county_raw=""Warren/Hunterdon/Mercer"" (R-01 fallback) | source_id=""state-drjtbc-profserv"" identifies a bi-state agency"
notice-61f69805863f,North,,REGIONAL,North,LOW,"region_raw=""North"" retained without county expansion (R-04)"
notice-9eb4e1bd371c,Passaic,Passaic,SINGLE_COUNTY,,LOW,"county_raw=""Passaic"" (R-01 fallback)"
notice-926632aa45fb,Passaic,Passaic,SINGLE_COUNTY,,LOW,"county_raw=""Passaic"" (R-01 fallback)"
notice-4531d15e2e38,Passaic,Passaic,SINGLE_COUNTY,,LOW,"county_raw=""Passaic"" (R-01 fallback)"
notice-9db6e6911640,Essex,Essex,SINGLE_COUNTY,,LOW,"county_raw=""Essex"" (R-01 fallback)"
notice-ff3fc4734370,Mercer,Mercer,SINGLE_COUNTY,,LOW,"county_raw=""Mercer"" (R-01 fallback)"
notice-25be67d23f9a,Ocean,Ocean,SINGLE_COUNTY,,HIGH,"title:""Ocean County"""
notice-753bfbf95b81,Ocean,Ocean,SINGLE_COUNTY,,HIGH,"title:""OCEAN COUNTY"""
notice-1c0ba7c8482c,Morris,Morris,SINGLE_COUNTY,,LOW,"county_raw=""Morris"" (R-01 fallback)"
notice-6ebfc6cc572a,Morris,Morris,SINGLE_COUNTY,,LOW,"county_raw=""Morris"" (R-01 fallback)"
notice-9caea0bae9d4,Union,Union,SINGLE_COUNTY,,HIGH,"title:""County of Union"""
notice-a6cca2a97783,Bergen,Bergen,SINGLE_COUNTY,,LOW,"county_raw=""Bergen"" (R-01 fallback)"
notice-9ae0dfd9d280,Monmouth,Monmouth,SINGLE_COUNTY,,HIGH,"title:""MONMOUTH COUNTY"""
notice-0002d7c371aa,Monmouth,Monmouth,SINGLE_COUNTY,,HIGH,"title:""MONMOUTH COUNTY"""
notice-82fec72f21eb,Monmouth,Monmouth,SINGLE_COUNTY,,HIGH,"title:""MONMOUTH COUNTY"""
notice-50339f52c99c,Northern New Jersey,,REGIONAL,Northern New Jersey,LOW,"region_raw=""Northern New Jersey"" retained without county expansion (R-04)"
notice-d408af6223f6,Northern New Jersey,Ocean,SINGLE_COUNTY,Northern New Jersey,HIGH,"title:""Ocean County"""
notice-ff683f4b90af,Camden/Gloucester,Camden|Gloucester,BISTATE,,LOW,"county_raw=""Camden/Gloucester"" (R-01 fallback) | source_id=""state-drpa-patco"" identifies a bi-state agency"
notice-bd82877928a3,Camden/Gloucester,Camden|Gloucester,BISTATE,,LOW,"county_raw=""Camden/Gloucester"" (R-01 fallback) | source_id=""state-drpa-patco"" identifies a bi-state agency"
notice-ac38e1e37a60,Statewide,,BISTATE,,MEDIUM,"source_id=""state-panynj-profserv"" identifies a bi-state agency"
notice-be604c75a3c9,Statewide,,BISTATE,,MEDIUM,"source_id=""state-panynj-profserv"" identifies a bi-state agency"
notice-306d6836846c,Statewide,,BISTATE,,MEDIUM,"source_id=""state-panynj-profserv"" identifies a bi-state agency"
notice-eda666719918,Statewide,,BISTATE,,MEDIUM,"source_id=""state-panynj-profserv"" identifies a bi-state agency"
notice-20b4f3dc3f48,Statewide,,BISTATE,,MEDIUM,"source_id=""state-panynj-construction"" identifies a bi-state agency"
notice-8d8df12b3d55,Statewide,,BISTATE,,MEDIUM,"source_id=""state-panynj-construction"" identifies a bi-state agency"
notice-26d80ad34746,Statewide,,BISTATE,,MEDIUM,"source_id=""state-panynj-construction"" identifies a bi-state agency"
notice-0879acffe696,Warren/Hunterdon/Mercer,Hunterdon|Mercer|Warren,BISTATE,,LOW,"county_raw=""Warren/Hunterdon/Mercer"" (R-01 fallback) | source_id=""state-drjtbc-profserv"" identifies a bi-state agency"
notice-bb990e81f943,Warren/Hunterdon/Mercer,Hunterdon|Mercer|Warren,BISTATE,,LOW,"county_raw=""Warren/Hunterdon/Mercer"" (R-01 fallback) | source_id=""state-drjtbc-profserv"" identifies a bi-state agency"
notice-58e22dd4f9f8,Warren/Hunterdon/Mercer,Hunterdon|Mercer|Warren,BISTATE,,LOW,"county_raw=""Warren/Hunterdon/Mercer"" (R-01 fallback) | source_id=""state-drjtbc-construction"" identifies a bi-state agency"
notice-21064d473da1,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-0ee280ad3f4d,Statewide,,STATEWIDE,,HIGH,text explicitly identifies statewide/systemwide scope
notice-e7015a784522,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-f3c293f763e0,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-9b0f1a9e356c,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-ff88c279bc5b,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-deba59a6e155,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-28409da74419,Statewide,,STATEWIDE,,HIGH,text explicitly identifies statewide/systemwide scope
notice-0a8e5a0582b7,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-0eb4140e98a2,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-dbe774a5494b,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-3fa3d4d76aa8,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-d063f6a9df47,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-3f78c123ed11,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-ff93baab5b7b,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-5be294b87b7a,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-9e3665589907,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-fd47a5ff3d62,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-668b437ee761,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-284e9e5b80e7,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-cbf504d9df1c,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-b4fe75feaec9,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-6d1f19ebfa18,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-b3a7c566b40f,Statewide,,STATEWIDE,,HIGH,text explicitly identifies statewide/systemwide scope
notice-d74a07c6204a,Statewide,,STATEWIDE,,HIGH,text explicitly identifies statewide/systemwide scope
notice-a015da037476,Central,,REGIONAL,Central,LOW,"region_raw=""Central"" retained without county expansion (R-04)"
notice-134a0ca62f16,Central,,REGIONAL,Central,LOW,"region_raw=""Central"" retained without county expansion (R-04)"
notice-4f4930da7aff,North,,REGIONAL,North,LOW,"region_raw=""North"" retained without county expansion (R-04)"
notice-e2f0e5baa232,South,,REGIONAL,South,LOW,"region_raw=""South"" retained without county expansion (R-04)"
notice-9bdb03a6982e,Central,,REGIONAL,Central,LOW,"region_raw=""Central"" retained without county expansion (R-04)"
notice-5efd53108e5a,North,,REGIONAL,North,LOW,"region_raw=""North"" retained without county expansion (R-04)"
notice-dc205290ac36,North,,REGIONAL,North,LOW,"region_raw=""North"" retained without county expansion (R-04)"
notice-2c261290eb5c,North,,REGIONAL,North,LOW,"region_raw=""North"" retained without county expansion (R-04)"
notice-5fa1f0187403,North,,REGIONAL,North,LOW,"region_raw=""North"" retained without county expansion (R-04)"
notice-aca250147055,North,,REGIONAL,North,LOW,"region_raw=""North"" retained without county expansion (R-04)"
notice-08f0b5a0e253,South,,REGIONAL,South,LOW,"region_raw=""South"" retained without county expansion (R-04)"
notice-a6e4cfb7cfb1,Central,,REGIONAL,Central,LOW,"region_raw=""Central"" retained without county expansion (R-04)"
notice-ac7aaf769feb,North,,REGIONAL,North,LOW,"region_raw=""North"" retained without county expansion (R-04)"
notice-7b894ba0cdac,South,,REGIONAL,South,LOW,"region_raw=""South"" retained without county expansion (R-04)"
notice-29a56f4b72ef,Central,,REGIONAL,Central,LOW,"region_raw=""Central"" retained without county expansion (R-04)"
notice-f085cb05d43f,North,,REGIONAL,North,LOW,"region_raw=""North"" retained without county expansion (R-04)"
notice-76c8069b8523,Statewide,,STATEWIDE,,HIGH,text explicitly identifies statewide/systemwide scope
notice-5752320c5fc5,North,,REGIONAL,North,LOW,"region_raw=""North"" retained without county expansion (R-04)"
notice-a0b45a0c5d2d,Central & North,,REGIONAL,Central & North,LOW,"region_raw=""Central & North"" retained without county expansion (R-04)"
notice-098b5bb99a07,Central & North,,REGIONAL,Central & North,LOW,"region_raw=""Central & North"" retained without county expansion (R-04)"
notice-d9fac8f77e58,Central,,REGIONAL,Central,LOW,"region_raw=""Central"" retained without county expansion (R-04)"
notice-10727275d81a,South,,REGIONAL,South,LOW,"region_raw=""South"" retained without county expansion (R-04)"
notice-5c52520aff8c,North,,REGIONAL,North,LOW,"region_raw=""North"" retained without county expansion (R-04)"
notice-ccd61231acda,South,,REGIONAL,South,LOW,"region_raw=""South"" retained without county expansion (R-04)"
notice-502aeff1b100,North,,REGIONAL,North,LOW,"region_raw=""North"" retained without county expansion (R-04)"
notice-d1d49df36cfb,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-6157f225efec,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-4cc96828d05c,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-b44b15e61b6a,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-7367ae8a2b65,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-6106433f8dbe,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-268a9c218636,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-6f9ee789d8be,Camden,Camden,SINGLE_COUNTY,,LOW,"county_raw=""Camden"" (R-01 fallback)"
notice-4aff805284a9,Morris/Passaic/Bergen,Bergen|Morris|Passaic,MULTI_COUNTY,,LOW,"county_raw=""Morris/Passaic/Bergen"" (R-01 fallback)"
notice-4688a4ad6831,Bergen,Bergen,SINGLE_COUNTY,,LOW,"county_raw=""Bergen"" (R-01 fallback)"
notice-32d0d884993f,Burlington,Burlington,SINGLE_COUNTY,,LOW,"county_raw=""Burlington"" (R-01 fallback)"
notice-a2130ee14684,Warren,Warren,SINGLE_COUNTY,,LOW,"county_raw=""Warren"" (R-01 fallback)"
notice-af5376ec57d0,Warren,Warren,SINGLE_COUNTY,North,LOW,"county_raw=""Warren"" (R-01 fallback)"
notice-465ffabbce65,"Mercer, Middlesex",Mercer|Middlesex,MULTI_COUNTY,,LOW,"county_raw=""Mercer, Middlesex"" (R-01 fallback)"
notice-e1215f765d04,"Middlesex, Monmouth",Middlesex|Monmouth,MULTI_COUNTY,,LOW,"county_raw=""Middlesex, Monmouth"" (R-01 fallback)"
notice-75297aa782eb,Middlesex,Middlesex,SINGLE_COUNTY,,LOW,"county_raw=""Middlesex"" (R-01 fallback)"
notice-661624ecaac1,Camden,Camden,SINGLE_COUNTY,,LOW,"county_raw=""Camden"" (R-01 fallback)"
notice-9b2716e33632,Statewide,,STATEWIDE,,HIGH,text explicitly identifies statewide/systemwide scope
notice-285645fce7f1,Somerset,Somerset,SINGLE_COUNTY,,LOW,"county_raw=""Somerset"" (R-01 fallback)"
notice-97ebd194bef2,Ocean,Ocean,SINGLE_COUNTY,,LOW,"county_raw=""Ocean"" (R-01 fallback)"
notice-b629402c1604,Morris,Morris,SINGLE_COUNTY,,LOW,"county_raw=""Morris"" (R-01 fallback)"
notice-da4885e9bfaf,Bergen,Bergen,SINGLE_COUNTY,,LOW,"county_raw=""Bergen"" (R-01 fallback)"
notice-292c68a10a98,Monmouth,Monmouth,SINGLE_COUNTY,,LOW,"county_raw=""Monmouth"" (R-01 fallback)"
notice-24a1ffc6b81e,Somerset,Somerset,SINGLE_COUNTY,,LOW,"county_raw=""Somerset"" (R-01 fallback)"
notice-4982794d1b7c,Various,,REGIONAL,Various,LOW,"region_raw=""Various"" retained without county expansion (R-04)"
notice-c0f0cb0fca4a,Burlington,Burlington,SINGLE_COUNTY,,LOW,"county_raw=""Burlington"" (R-01 fallback)"
notice-06377bf07a00,Various,,REGIONAL,Various,LOW,"region_raw=""Various"" retained without county expansion (R-04)"
notice-a717c76e1e60,Camden,Camden,SINGLE_COUNTY,,LOW,"county_raw=""Camden"" (R-01 fallback)"
notice-238623237a12,Essex,Essex,SINGLE_COUNTY,,LOW,"county_raw=""Essex"" (R-01 fallback)"
notice-2bf0f0032a16,South Region,,REGIONAL,South Region,LOW,"region_raw=""South Region"" retained without county expansion (R-04)"
notice-db0b51b29919,Mercer,Mercer,SINGLE_COUNTY,,LOW,"county_raw=""Mercer"" (R-01 fallback)"
notice-c060a0a49637,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-db612243beaf,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-bfa8bd073c07,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-3fe371604a5e,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-f13e5fe449e6,Statewide,Somerset,SINGLE_COUNTY,,MEDIUM,"title:""Somerset County"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-1cba9bfc8500,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-d496a334c6ed,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-62d38170ca00,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-74921b00b7b4,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-4f19559518a0,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-37218a556d49,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-c123befbf4ef,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-866ba63ff5c7,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-493184fe970d,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-5e3427365768,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-61612e0abc20,Statewide,,STATEWIDE,,HIGH,text explicitly identifies statewide/systemwide scope
notice-99774bee8b5c,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-e05188ef1bbf,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-243552870e3b,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-c74acc58c001,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-777083fb4c91,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-25d99b1a0fc5,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-4f6e7fea619e,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-787751a992ad,Statewide,Atlantic|Burlington|Camden|Cape May|Cumberland|Gloucester|Salem,MULTI_COUNTY,South,MEDIUM,"title:""Salem Counties"" | title:""Atlantic, Burlington, Camden, Cape May, Cumberland, Gloucester, and Salem Counties"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-09a31913dc62,Statewide,Middlesex,SINGLE_COUNTY,,MEDIUM,"title:""County of Middlesex"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-d6cd3a5ad00c,Statewide,Hunterdon|Mercer|Middlesex|Monmouth|Ocean|Somerset,MULTI_COUNTY,Central,MEDIUM,"title:""Somerset Counties"" | title:""Hunterdon, Mercer, Middlesex, Monmouth, Ocean, and Somerset Counties"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-e537cbbc611f,Statewide,Bergen|Essex|Hudson|Morris|Passaic|Union,MULTI_COUNTY,North,MEDIUM,"title:""Union Counties"" | title:""Bergen, Essex, Hudson, Morris, Passaic, and Union Counties"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-2c483f1e0d5c,Statewide,Warren,SINGLE_COUNTY,North,MEDIUM,"title:""Warren County"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-9171b5272a89,Statewide,Middlesex|Monmouth,MULTI_COUNTY,,MEDIUM,"title:""Middlesex County"" | title:""Monmouth County"" | county_raw=""Statewide"" conflicts; explicit county evidence wins (R-03)"
notice-244d851d92ae,Passaic,Passaic,SINGLE_COUNTY,,HIGH,"title:""Passaic County"""
notice-6db4eb12aa8e,Camden,Camden,SINGLE_COUNTY,,HIGH,"title:""Camden County"""
notice-701d86bd99b9,Camden,Camden,SINGLE_COUNTY,,LOW,"county_raw=""Camden"" (R-01 fallback)"
notice-4cf1cbd80498,Mercer,Mercer,SINGLE_COUNTY,,LOW,"county_raw=""Mercer"" (R-01 fallback)"
notice-da285d07cdc6,Cumberland,Cumberland,SINGLE_COUNTY,,LOW,"county_raw=""Cumberland"" (R-01 fallback)"
notice-6be589667115,Cape May,Cape May,SINGLE_COUNTY,,LOW,"county_raw=""Cape May"" (R-01 fallback)"
notice-5661db9d794d,Cape May,Cape May,SINGLE_COUNTY,,LOW,"county_raw=""Cape May"" (R-01 fallback)"
notice-a3457480a03c,Cape May,Cape May,SINGLE_COUNTY,,LOW,"county_raw=""Cape May"" (R-01 fallback)"
notice-12be7292bdb4,Passaic,Passaic,SINGLE_COUNTY,,LOW,"county_raw=""Passaic"" (R-01 fallback)"
notice-54792c5ec8b5,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-47d0f5d56965,Passaic,Passaic,SINGLE_COUNTY,,LOW,"county_raw=""Passaic"" (R-01 fallback)"
notice-64c3a266afb4,Statewide,,STATEWIDE,,HIGH,text explicitly identifies statewide/systemwide scope
notice-b266cdbdbe2c,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-b11b1976aaf1,Passaic,Passaic,SINGLE_COUNTY,,LOW,"county_raw=""Passaic"" (R-01 fallback)"
notice-205847904d0d,Passaic,Passaic,SINGLE_COUNTY,,LOW,"county_raw=""Passaic"" (R-01 fallback)"
notice-ddaae7865146,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-bb04fa33a15d,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-ac3eba078079,Mercer,Mercer,SINGLE_COUNTY,,HIGH,"title:""COUNTY OF MERCER"""
notice-c73b092bb5a0,Monmouth,Monmouth,SINGLE_COUNTY,,HIGH,"title:""MONMOUTH COUNTY"""
notice-422fddeee10a,Essex,Essex,SINGLE_COUNTY,,LOW,"county_raw=""Essex"" (R-01 fallback)"
notice-4e556bf86ab7,Camden,Camden,SINGLE_COUNTY,,LOW,"county_raw=""Camden"" (R-01 fallback)"
notice-c2c7a55ff2b8,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-0bef22ed5cc6,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-664c064ca856,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-8a4888fe5a11,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-84f48df70ca8,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-3b3d9aa337bb,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-a252e9c27b8c,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
notice-e730a2faf45f,Statewide,,UNRESOLVED,,LOW,no explicit county evidence
